timestamp,Meta_Model,Simple_Avg,LGBM_Single,Buy_and_Hold
2026-01-08 12:00:00+00:00,10000.0,10000.0,10000.0,10000.0
2026-01-08 13:00:00+00:00,10000.0,10000.0,10000.0,9979.001407959764
2026-01-08 14:00:00+00:00,10000.0,10000.0,10000.0,9985.864304030381
2026-01-08 15:00:00+00:00,10000.0,10000.0,10000.0,10069.896234647129
2026-01-08 16:00:00+00:00,10000.0,10000.0,10000.0,10086.010230318354
2026-01-08 17:00:00+00:00,10000.0,10000.0,10000.0,10134.767074796138
2026-01-08 18:00:00+00:00,10000.0,10000.0,10000.0,10107.14244836286
2026-01-08 19:00:00+00:00,10000.0,10000.0,10000.0,10087.1827018145
2026-01-08 20:00:00+00:00,10000.0,10000.0,10000.0,10086.096751393756
2026-01-08 21:00:00+00:00,10000.0,10000.0,10000.0,10124.403402905435
2026-01-08 22:00:00+00:00,10000.0,10000.0,10000.0,10119.84884475674
2026-01-08 23:00:00+00:00,10000.0,10000.0,10000.0,10105.216799812903
2026-01-09 00:00:00+00:00,10000.0,10000.0,10000.0,10126.330160699948
2026-01-09 01:00:00+00:00,10000.0,10000.0,10000.0,10100.358308655748
2026-01-09 02:00:00+00:00,10000.0,10000.0,10000.0,10098.38274410075
2026-01-09 03:00:00+00:00,10000.0,10000.0,10000.0,10118.554356359391
2026-01-09 04:00:00+00:00,10000.0,10000.0,10000.0,10095.54529652541
2026-01-09 05:00:00+00:00,10000.0,10000.0,10000.0,10104.310547010304
2026-01-09 06:00:00+00:00,10000.0,10000.0,10000.0,10109.38645010052
2026-01-09 07:00:00+00:00,10000.0,10000.0,10000.0,10065.489206024446
2026-01-09 08:00:00+00:00,10000.0,10000.0,10000.0,9986.91919560355
2026-01-09 09:00:00+00:00,10000.0,10000.0,10000.0,10020.74449910726
2026-01-09 10:00:00+00:00,10000.0,10000.0,10000.0,10037.095873113562
2026-01-09 11:00:00+00:00,10000.0,10000.0,10000.0,10034.571232503133
2026-01-09 12:00:00+00:00,10000.0,10000.0,10000.0,10033.03160105881
2026-01-09 13:00:00+00:00,10000.0,10000.0,10000.0,10050.605362566299
2026-01-09 14:00:00+00:00,10000.0,10000.0,10000.0,9999.839676196822
2026-01-09 15:00:00+00:00,10000.0,10000.0,10000.0,10113.700302180467
2026-01-09 16:00:00+00:00,10000.0,10000.0,10000.0,10163.330122124158
2026-01-09 17:00:00+00:00,10000.0,10000.0,10000.0,10140.961096399235
2026-01-09 18:00:00+00:00,10000.0,10000.0,10000.0,10074.193448058733
2026-01-09 19:00:00+00:00,10000.0,10000.0,10000.0,10020.044565792152
2026-01-09 20:00:00+00:00,10000.0,10000.0,10000.0,10016.851050714196
2026-01-09 21:00:00+00:00,10000.0,10000.0,10000.0,10043.318735075121
2026-01-09 22:00:00+00:00,10000.0,10000.0,10000.0,10053.09228886181
2026-01-09 23:00:00+00:00,10000.0,10000.0,10000.0,10054.334642765009
2026-01-10 00:00:00+00:00,10000.0,10000.0,10000.0,10049.755681236074
2026-01-10 01:00:00+00:00,10000.0,10000.0,10000.0,10059.517033332639
2026-01-10 02:00:00+00:00,10000.0,10000.0,10000.0,10060.534210590884
2026-01-10 03:00:00+00:00,10000.0,10000.0,10000.0,10052.655246506576
2026-01-10 04:00:00+00:00,10000.0,10000.0,10000.0,10032.928441315065
2026-01-10 05:00:00+00:00,10000.0,10000.0,10000.0,10050.146135319937
2026-01-10 06:00:00+00:00,10000.0,10000.0,10000.0,10039.269992444162
2026-01-10 07:00:00+00:00,10000.0,10000.0,10000.0,10058.463251004032
2026-01-10 08:00:00+00:00,10000.0,10000.0,10000.0,10056.627451263144
2026-01-10 09:00:00+00:00,10000.0,10000.0,10000.0,10068.49747726148
2026-01-10 10:00:00+00:00,10000.0,10000.0,10000.0,10075.04645712263
2026-01-10 11:00:00+00:00,10000.0,10000.0,10000.0,10063.49478431199
2026-01-10 12:00:00+00:00,10000.0,10000.0,10000.0,10064.587390200073
2026-01-10 13:00:00+00:00,10000.0,10000.0,10000.0,10056.02402222445
